City,Country,Race,Date,StartTime,Participation,Distance,ElevationGain,ElevationLoss,AidStations,Participants
Bergen,Germany,100 Mile,2019-08-02,14:00:00,Solo,0,0,-0,9,150
Ouray,United States,100 Mile,2019-08-02,08:00:00,solo,171.9,11310,-11420,15,120
Hudson,United States,100 Mile,2019-07-27,04:00:00,solo,163.6,2700,-2700,14,250
Nathrop,United States,100M,2019-07-26,06:00:00,solo,160,6480,-6480,12,125
Carsoncity,United States,100 Mile,2019-07-20,05:00:00,solo,161.1,6170,-6160,0,300
Ystad,Sweden,The Gax 100 miles,2019-07-20,00:00:00,solo,161.3,2330,-2320,3,72
WestWindsor,United States,100M,2019-07-20,04:00:00,solo,157.5,4830,-4840,19,350
LittleRiver,Australia,100 MI,2019-07-20,08:00:00,solo,169.3,4820,-4830,2,0
Ordino,Andorra,Ronda dels cims,2019-07-19,07:00:00,solo,0,0,-0,0,0
PortMacquarie,Australia,160 Km (100 Mile),2019-07-19,22:00:00,solo,163.3,8730,-8730,13,100
Irwin,United States,Moose 100 Mile,2019-07-19,05:00:00,solo,0,0,-0,14,0
abergavenny,United Kingdom,Beacons Way Ultra,2019-07-13,06:00:00,solo,166.5,6310,-6320,10,50
Otaki,Japan,100 Miles,2019-07-13,20:00:00,solo,164.6,6200,-6200,6,0
Chongli,China,168km,2019-07-12,16:00:00,solo,166.2,8250,-8250,14,400
Chongli,China,UTC-emergency,2019-07-12,17:00:00,solo,157.7,7800,-7800,14,400
Beasain,Spain,Ehunmilak Ultra-Trail®,2019-07-12,18:00:00,solo,172,10210,-10210,15,515
Saint-Etienne-Vallée-Française,France,GTS 162 km,2019-07-12,06:00:00,solo,161.2,5210,-5380,5,0
Äkäslompolo,Finland,160K,2019-07-12,12:00:00,solo,163.9,4430,-4510,10,250
Wendover,United Kingdom,Wendover Woods 100,2019-07-12,09:00:00,solo,168.1,6180,-6180,19,200
VillaYacantodeCalamuchita,Argentina,100 MILLAS UTACCH,2019-07-06,12:00:00,solo,158.8,5449,-5450,15,50
Brisbane,Australia,Brisbane Trail Ultra 100 mile,2019-07-06,05:00:00,solo,159.5,7550,-7580,7,50
Fairplay,United States,100 Mile,2019-07-06,04:00:00,solo,166.7,4650,-4650,24,200
Blairmore,Canada,Solo,2019-07-06,07:00:00,solo,160.7,5730,-5740,15,1600
CzarnaGórna,Poland,Bojko Trail 150+,2019-07-05,18:00:00,solo,155.1,7980,-8040,8,400
Pwllheli,United Kingdom,Pen Llyn Ultra 100,2019-06-29,05:00:00,solo,162.7,3220,-3180,7,100
Oskarshamn,Sweden,#Småland100,2019-06-28,18:00:00,solo,163.1,4040,-4040,7,50
QUITO,Ecuador,Ultra Trail Pululahua Ecuador,2019-06-28,17:00:00,solo,172.1,11250,-10810,22,30
Kanas,China,168km,2019-06-27,09:00:00,solo,168.6,5870,-5790,12,300
Swanage,United Kingdom,Jurassic Coast 100m,2019-06-22,08:00:00,solo,168.2,4740,-4720,10,100
BlueRiver,United States,100 Mile,2019-06-22,06:00:00,solo,165.7,8120,-8110,14,100
BukitMertajam,Malaysia,100 miles,2019-06-22,03:00:00,solo,167.3,4230,-4190,15,80
malham,United Kingdom,Pennine Barrier Ultra 100,2019-06-22,06:00:00,solo,158.5,4560,-4560,10,100
Milngavie,United Kingdom,150km,2019-06-22,01:00:00,solo,155,3640,-3680,8,238
Cardiff,United Kingdom,South Wales 100,2019-06-21,19:00:00,solo,166.7,5840,-5840,11,100
OYONNAX,France,ULTRA 01XT,2019-06-21,18:00:00,solo,165.1,6060,-6060,7,0
Edale,United Kingdom,Flare,2019-06-19,08:00:00,solo,173.9,4720,-4720,6,50
Loudonville,United States,Mohican 100 Mile Trail Run,2019-06-15,05:00:00,solo,156,3630,-3620,19,0
Percé,Canada,100 miles,2019-06-15,05:00:00,solo,159,4130,-4130,21,40
Sheridan,United States,100M,2019-06-14,11:00:00,solo,167.3,6740,-6800,7,360
Seia,Portugal,100 Milhas OMD,2019-06-14,16:00:00,solo,157.5,8460,-8460,13,85
Seia,Portugal,OH MEU DEUS 160 TEAM,2019-06-14,16:00:00,team,157.6,8450,-8450,14,5
Nikola-Lenivets,Russia,165 km,2019-06-08,21:00:00,solo,162.4,1440,-1440,13,0
Worthing,United Kingdom,Centurion South Downs Way 100,2019-06-08,06:00:00,solo,156.9,3340,-3400,14,300
Laulasmaa,Estonia,Laulasmaa Ultra 8 loops,2019-06-08,10:00:00,solo,167.9,1870,-1870,56,0
Murat-le-Quaire,France,157 km,2019-06-08,06:30:00,solo,156.2,6320,-6570,7,0
Oceanside,United States,San Diego 100,2019-06-07,06:00:00,solo,161.3,3950,-3950,15,300
LaGrange,United States,100 Mile,2019-06-01,06:00:00,solo,161,2650,-2650,27,400
NA,United States,OLD DOMINION 100 MILE,2019-06-01,00:00:00,solo,0,0,-0,0,0
SanGil,Colombia,CCR 100 millas,2019-05-31,06:00:00,solo,162.4,7210,-7210,11,80
Pocatello,United States,162K,2019-05-31,12:00:00,solo,162,6470,-6470,11,300
KasinkaMala,Poland,UTM 170,2019-05-31,17:00:00,solo,171.9,8180,-8180,8,80
